route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
120-1163,120,"Garden City - City via Tarragindi",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/120,71BF5B,000000
121-1118,121,"Salisbury - City/Valley",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/121,71BF5B,000000
121-1163,121,"Salisbury - City/Valley",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/121,71BF5B,000000
122-1118,122,"Inala - Garden City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/122,71BF5B,000000
122-1142,122,"Inala - Garden City (Community Bus)",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/122,71BF5B,000000
122-1163,122,"Inala - Garden City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/122,71BF5B,000000
123-1118,123,"Griffith University - Garden City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/123,71BF5B,000000
123-1163,123,"Griffith University - Garden City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/123,71BF5B,000000
124-1118,124,"Sunnybank - City/Valley",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/124,71BF5B,000000
124-1163,124,"Sunnybank - City/Valley",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/124,71BF5B,000000
125-1118,125,"Garden City - City/Valley via Salisbury",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/125,71BF5B,000000
125-1163,125,"Garden City - City/Valley via Salisbury",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/125,71BF5B,000000
126-1118,126,"Acacia Ridge - Sunnybank Plaza",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/126,71BF5B,000000
126-1163,126,"Acacia Ridge - Sunnybank Plaza",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/126,71BF5B,000000
130-1118,130,"Parkinson - City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/130,71BF5B,000000
130-1163,130,"Parkinson - City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/130,71BF5B,000000
131-1118,131,"Parkinson - City via Hellawell Rd",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/131,71BF5B,000000
131-1163,131,"Parkinson - City via Hellawell Rd",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/131,71BF5B,000000
132-1118,132,"Parkinson/Algester - Garden City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/132,71BF5B,000000
132-1163,132,"Parkinson/Algester - Garden City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/132,71BF5B,000000
134-1118,134,"Griffith University - City Rocket",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/134,71BF5B,000000
134-1163,134,"Griffith University - City Rocket",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/134,71BF5B,000000
135-1118,135,"Parkinson - City Express",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/135,71BF5B,000000
135-1163,135,"Parkinson - City Express",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/135,71BF5B,000000
136-1118,136,"Parkinson - City Precincts",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/136,71BF5B,000000
136-1163,136,"Parkinson - City Precincts",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/136,71BF5B,000000
138-1118,138,"Algester - City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/138,71BF5B,000000
138-1163,138,"Algester - City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/138,71BF5B,000000
139-1118,139,"Sunnybank Hills - UQ Lakes",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/139,71BF5B,000000
139-1163,139,"Sunnybank Hills - UQ Lakes",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/139,71BF5B,000000
140-1118,140,"Browns Plains - City Express via Mains Road",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/140,71BF5B,000000
140-1163,140,"Browns Plains - City Express via Mains Road",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/140,71BF5B,000000
145-1118,145,"Browns Plains - Griffith University",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/145,71BF5B,000000
145-1163,145,"Browns Plains - Griffith University",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/145,71BF5B,000000
150-1118,150,"Browns Plains - City Express via Runcorn",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/150,71BF5B,000000
150-1163,150,"Browns Plains - City Express via Runcorn",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/150,71BF5B,000000
152-1118,152,"Stretton - Garden City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/152,71BF5B,000000
152-1163,152,"Stretton - Garden City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/152,71BF5B,000000
153-1118,153,"Drewvale - City Rocket",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/153,71BF5B,000000
153-1163,153,"Drewvale - City Rocket",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/153,71BF5B,000000
155-1118,155,"Calamvale - City Express via Griffith Uni",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/155,71BF5B,000000
155-1163,155,"Calamvale - City Express via Griffith Uni",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/155,71BF5B,000000
156-1118,156,"Stretton - City Rocket",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/156,71BF5B,000000
156-1163,156,"Stretton - City Rocket",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/156,71BF5B,000000
160-1118,160,"Garden City - City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/160,71BF5B,000000
160-1163,160,"Garden City - City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/160,71BF5B,000000
161-1118,161,"Wishart Outlook - City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/161,71BF5B,000000
161-1163,161,"Wishart Outlook - City",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/161,71BF5B,000000
162-1118,162,"Eight Miles Plains - City Rocket",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/162,71BF5B,000000
162-1163,162,"Eight Miles Plains - City Rocket",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/162,71BF5B,000000
169-1118,169,"Eight Mile Plains - UQ Lakes",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/169,71BF5B,000000
169-1163,169,"Eight Mile Plains - UQ Lakes",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/169,71BF5B,000000
170-1118,170,"Garden City - City Express via Newnham Road",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/170,71BF5B,000000
170-1163,170,"Garden City - City Express via Newnham Road",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/170,71BF5B,000000
171-1118,171,"Garden City - City/Valley Rocket via Newnham Road",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/171,71BF5B,000000
171-1163,171,"Garden City - City/Valley Rocket via Newnham Road",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/171,71BF5B,000000
172-1118,172,"Garden City - City via Greenslopes Hospital",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/172,71BF5B,000000
172-1163,172,"Garden City - City via Greenslopes Hospital",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/172,71BF5B,000000
174-1118,174,"Garden City - City/Valley via Newnham Road",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/174,71BF5B,000000
174-1163,174,"Garden City - City/Valley via Newnham Road",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/174,71BF5B,000000
175-1118,175,"Garden City - City via Logan Rd",,3,http://jp.translink.com.au/travel-information/network-information/buses/T/175,71BF5B,000000
